Feature_ID,Category_Module,Feature_Name,Description,Source,Status,Implementation_Location,Dynamic_Persistence,RBAC_Role_Required
F-145,Content Widgets,Video Widget,Embedded / self-hosted video,Elementor,PRESERVED,frontend/src/pages/editor/widgets/renderers.tsx,Local State,USER
F-146,Content Widgets,Button,Interactive buttons and links,Elementor,PRESERVED,frontend/src/pages/editor/widgets/renderers.tsx,Local State,USER
F-178,Pro Widgets,Form Builder,Customizable website forms & submissions,Elementor,COMPLETED,backend/src/controllers/form.controller.ts,PostgreSQL (FormSubmission),USER
F-182,Pro Widgets,Price Table,Displays pricing plans and packages,Elementor,PRESERVED,frontend/src/pages/editor/widgets/renderers.tsx,Local State,USER
F-184,Pro Widgets,Gallery Widget,Advanced image galleries with lightbox,Elementor,PRESERVED,frontend/src/pages/editor/widgets/renderers.tsx,Local State,USER
F-195,Pro Widgets,Template Library,Insert reusable saved templates,Elementor,COMPLETED,backend/src/controllers/template.controller.ts,PostgreSQL (Site Templates),USER
F-234,Theme Builder,Header & Footer Builder,Visually design website headers & footers,Elementor,COMPLETED,backend/src/controllers/website.controller.ts,PostgreSQL (ThemeLocationRule),ADMIN
F-265,Theme Builder,Custom Post Types,Support custom content types,Elementor,COMPLETED,backend/src/controllers/customPostType.controller.ts,PostgreSQL (CustomPostType),ADMIN
F-270,Forms,Form Submissions,Capture and manage form responses,Elementor,COMPLETED,backend/src/services/form/form.service.ts,PostgreSQL (FormSubmission),ADMIN
F-272,Forms,Form Validation,Validate submitted form input data,Elementor,COMPLETED,backend/src/validators/,Zod Schema Validation,USER
F-282,Popup & Conversion,Popup Builder,Customizable website overlays and popups,Elementor,PRESERVED,frontend/src/pages/editor/components/PopupManagerModal.tsx,Local & State JSON,USER
F-320,Revisions,Revision History,View and restore previous design versions,Elementor,COMPLETED,frontend/src/features/revision-history/,PostgreSQL (Revisions),USER
F-332,Site Kits,Website Kit Export/Import,Export/Import complete website setup JSON,Elementor,COMPLETED,frontend/src/features/website-kits/,JSON File Bundles,ADMIN
F-382,AI Platform,AI Text Generation,Generates website text using AI,Elementor AI,EXCLUDED-AI,None (Out of Scope),None,None
F-383,AI Platform,AI Image Generation,Generates images using AI,Elementor AI,EXCLUDED-AI,None (Out of Scope),None,None
F-384,AI Platform,AI Code Generation,Generates code using AI,Elementor AI,EXCLUDED-AI,None (Out of Scope),None,None
F-385,AI Platform,AI Section Generation,Generates sections using AI,Elementor AI,EXCLUDED-AI,None (Out of Scope),None,None
F-389,AI Platform,AI Website Generation,Prompt-to-website generation pipeline,Elementor AI,EXCLUDED-AI,None (Out of Scope),None,None
F-403,AI Platform,AI Assistant Agent,AI website creation/management assistant,Elementor AI,EXCLUDED-AI,None (Out of Scope),None,None
F-479,AI Platform,Hosting AI Assistant,AI-triggered hosting management actions,Elementor AI,EXCLUDED-AI,None (Out of Scope),None,None
F-406,Collaboration,Role Manager,Control capabilities by user role (User/Admin/SuperAdmin),Elementor,COMPLETED,frontend/src/pages/dashboard/components/RoleManagerModal.tsx,PostgreSQL (User.role RBAC),SUPER_ADMIN
F-409,Collaboration,Granular Permissions,Resource/action permissions across teams,Elementor,COMPLETED,backend/src/services/permission.service.ts,Express RBAC Middleware,SUPER_ADMIN
F-410,Collaboration,Audit Logs,Log security and sensitive admin actions,Elementor,COMPLETED,backend/prisma/schema.prisma,PostgreSQL (AuditLog),SUPER_ADMIN
F-484,WP Integration,WordPress Connector,Bridge SaaS platform with WordPress endpoints,WordPress,COMPLETED,backend/src/controllers/pluginCompat.controller.ts,Express REST API,ADMIN
F-490,WP Integration,Page CRUD API,Create/read/update/delete website pages,WordPress,COMPLETED,backend/src/controllers/website.controller.ts,PostgreSQL (Website Model),USER
F-495,WP Integration,Publishing Pipeline,Render page JSON to HTML/CSS live output,WordPress,COMPLETED,frontend/src/pages/published/PublishedSite.tsx,PostgreSQL Persistent Storage,USER
F-768,Security,Server-Side Authorization,Enforce permissions server-side on API endpoints,Security,COMPLETED,backend/src/middlewares/auth.middleware.ts,JWT & Session Tokens,USER
F-774,Security,Rate Limiting,Protect APIs against rate limit abuses,Security,COMPLETED,backend/src/routes/developer.routes.ts,Express Rate Limit Middleware,USER
F-776,Security,Credential Encryption,Securely hash passwords using Argon2 & bcrypt,Security,COMPLETED,backend/src/utils/password.ts,Argon2 / bcryptjs,USER
